polish,english,example,grammatical_type
bezwzględny,ruthless,,
bieganie,running,,
biel,whiteness,,
bielizna,underwear,,
biernik (kogo? co?),accusative case,,
bierny,passive,,
bierz (brać),Take! (repeated),,
bierzesz (brać),You are taking,,
biodro,hip,,
biorę (brać),I am taking,,
bitwa,battle,,
biżuteria,jewellery,,
blacha,sheet metal,,
blat,counter-top or work surface,,
blednąć,to turn pale (repeated),,
bliskość,closeness/nearness,,
blizna,scar,,
bliźniaczka,twin (female),,
bliźniak,twin (male),,
blokada,blockage,,
bochenek,loaf,,
bodziesz (bóść),You are butting,,
bodę (bóść),I am butting,,
bogactwo,wealth,,
bohater,hero/protagonist,,
bojaźliwy,timid,,
bok,side,,
boleć,to ache/hurt,,
boleśnie,painfully,,
bombka,glass ball decoration,,
bon,token/voucher,,
brak,a lack,,
brakować,to lack,,
brakujący,missing,,
bramka,goal/gate,,
bramkarz,goalkeeper,,
bransoleta,bracelet,,
branża,branch/trade/business,,
bratowa,sister-in-law,,
bronić,to defend (repeated),,
broń,weapon,,
brudzić,to dirty (repeated),,
brukowiec,tabloid,,
brzeg,edge/brim,,
brzmienie,sound/tone,,
brzmieć,to sound (repeated),,
brzmij (brzmieć),Sound! (repeated),,
brzmisz (brzmieć),You sound,,
brzmię (brzmieć),I sound,,
brzęczeć,to clink/chink (repeated),,
budować,to build (repeated),,
bunt,rebellion/mutiny,,
buntownik,rebel/mutineer,,
burmistrz,mayor,,
burz (burzyć),Demolish/destroy! (repeated),,
burzliwy,stormy,,
burzysz (burzyć),You are demolishing/destroying,,
burzyć,to demolish/destroy (repeated),,
burzę (burzyć),I am demolishing/destroying,,
bydło,cattle,,
bywać,to be (frequentative),,
były,ex/former,,
bzdura,nonsense/rubbish,,
bójka,fight,,
bóść,to butt (repeated),,
błagać,to beg (repeated),,
błahy,trivial,,
błysk,flash/twinkle,,
błyskawica,lightning,,
błyszczeć,to sparkle/shine,,
błyszczysz (błyszczeć),You are sparkling/shining,,
błyszczę (błyszczeć),I am sparkling/shining,,
błąd,mistake/error,,
błądzić,to wander (repeated),,
błękitny,light blue,,
całkowicie,completely/totally,,
całostronicowy,whole-page or full-page,,
cecha,feature/trait/property/attribute,,
cegła,brick,,
celibat,celibacy,,
celować,to aim (repeated),,
celownik (komu? czemu?),dative case,,
cenić,to value/appreciate,,
cesarz,emperor,,
charytatywny,charitable,,
chirurg,surgeon,,
chmiel,hop,,
chociaż,(even) though,,
chodzenie,walking,,
choroba,disease,,
choć,(even) though,,
chropowaty,rough/harsh,,
chudnąć,to loose weight (repeated),,
chwilowo,momentarily/temporarily,,
chwilowy,temporary,,
chwycić,to grasp/grab (once),,
chwytać,to grasp/grab (repeated),,
chybiać,"to miss (as in, not hit) (repeated)",,
chybić,"to miss (as in, not hit) (once)",,
chór,choir,,
chętny,eager,,
chęć,desire,,
chłodnia,refrigerator room,,
chłodzić,to cool (repeated),,
ciasny,tight/cramped,,
ciekawostka,interesting fact,,
ciekawość,curiosity/interest,,
cienki,thin,,
cierpienie,suffering,,
cierpieć,to suffer I,,
cios,"blow (as in, hit)",,
cisza,silence,,
ciągle,continuously,,
ciąża,pregnancy,,
ciężar,weight,,
cięższy,heavier,,
ciśnienie,pressure,,
cofać,to reverse (repeated),,
cofniesz (cofnąć),You will reverse,,
cofnąć,to reverse (once),,
cofnę (cofnąć),I will reverse,,
cuchnąć,to stink,,
cud,miracle/marvel/wonder,,
cudzoziemiec,foreigner,,
cudzy,somebody else's,,
cyfrowy,digital,,
cygan,gypsy,,
cykać,to tick (repeated),,
cyknąć,to tick (once),,
cyniczny,cynical,,
czaisz się (czaić się),You are lurking,,
czaić się,to lurk (repeated),,
czaję się (czaić się),I am lurking,,
czar,charm,,
czasami,sometimes,,
czasownik,verb,,
czcisz (czcić),You are honouring,,
czcić,to honour (repeated),,
czczę (czcić),I am honouring,,
czekanie,waiting,,
czepiać się,to pick on,,
czerwiec,June,,
czesne,tuition fee,,
czoło,forehead,,
czterysta,four hundred,,
czuwać nad kimś/czymś,to watch over somebody/something,,
czułość,tenderness/affection,,
czynić,to do/make something significant (repeated),,
czynnik,factor/consideration,,
czynność,action/activity,,
czynsz,rent,,
czyszczę (czyścić),I am cleaning/brushing,,
czytelnik,reader,,
czyścisz (czyścić),You are cleaning/brushing,,
czyścić,to clean/brush (repeated),,
cząstka,particle/fraction,,
częstować,to offer (repeated),,
częsty,common/frequent,,
częściowy,partial,,
część,part/piece,,
członek,member (of a group),,
cętka,spot,,
dalszy,further,,
dane,data,,
dar,gift/present,,
darmowy,free (of charge),,
darować,to gift (repeated),,
dawka,dose,,
dbać,to care (for) (repeated),,
definicja,definition,,
definiować,to define (repeated),,
demonstracyjnie,demonstratively/ostentatiously,,
denerwujący,annoying/irritating,,
depcz (deptać),Tread/trample! (repeated),,
depczesz (deptać),You are treading/trampling,,
depczę (deptać),I am treading/trampling,,
deptać,to tread/trample (repeated),,
deskorolka,skateboard,,
dewiza,motto,,
dezaprobata,disapproval,,
diament,diamond,,
dlatego,so/therefore,,
dno,bottom of water,,
dobierać,to select/match (repeated),,
dobrać,to select/match (once),,
dobytek,belongings,,
doceniać,to appreciate (repeated),,
docenisz (docenić),You will appreciate,,
docenić,to appreciate (once),,
docenię (docenić),I will appreciate,,
dochodzić,to reach/arrive (repeated),,
dochód,income/profit,,
docierać do czegoś,to reach something (repeated),,
dodadzą (dodać),They will add,,
dodaj (dodać),Add! (once),,
dodajesz (dodawać),You are adding,,
dodaję (dodawać),I am adding,,
dodam (dodać),I will add,,
dodatkowo,additionally,,
dodawaj (dodawać),Add! (repeated),,
dodawanie,addition,,
dodawać,to add (repeated),,
dodać,to add (once),,
doganiać,to catch up with (repeated),,
dogodny,convenient/suitable,,
dogonić,to catch up with (once),,
dojrzałość,ripeness/maturity,,
dojść,to reach/arrive (once),,
dokuczać,to tease (repeated),,
dokuczliwy,troublesome/biting/gnawing/nagging,,
dokuczyć,to tease (once),,
dokładność,precision/accuracy,,
dolegać,to trouble/bother,,
dolny,lower,,
domagać się czegoś,to demand something II,,
domniemany,alleged/supposed,,
domyślać się,to guess/suspect (repeated),,
domyślić się,to guess/suspect (once),,
doniczka,flowerpot,,
dopasować,to fit/match (once),,
dopasowywać,to fit/match (repeated),,
dopełniacz (kogo? czego?),genitive case,,
dopiero,barely/scarcely,,
dopingować,to support/boost (repeated),,
dopóki,until,,
doradca,advisor,,
doradzać komuś,to advise somebody (repeated),,
doradzić komuś,to advise somebody (once),,
dorosłość,adulthood,,
dorosły,grown-up,,
dosięgać,to reach/catch up (repeated),,
dosięgnąć,to reach/catch up (once),,
doskonale,perfectly,,
doskonały,perfect,,
dostajesz (dostawać),You are get getting/receiving,,
dostaję (dostawać),I am getting/receiving,,
dostaniesz (dostać),You will get/receive,,
dostanę (dostać),I will get/receive,,
dostarczać,to deliver (repeated),,
dostarczyć,to deliver (once),,
dostateczny,sufficient/adequate,,
dostawaj (dostawać),Get/receive! (repeated),,
dostawać,to get/receive (repeated),,
dostać,to get/receive (once),,
dostań (dostać),Get/receive! (once),,
dostrzec,to spot/notice (once),,
dostrzegalny,discernible/perceptible,,
dostrzegać,to spot/notice (repeated),,
dostrzegę (dostrzec),I will spot/notice,,
dostrzeżesz (dostrzec),You will spot/notice,,
dostęp,access to (something),,
dostępny,accessible,,
dosłownie,literally,,
dotkliwy,severe/bitter/biting,,
dotkniesz (dotknąć),You will touch,,
dotknij (dotknąć),Touch! (once),,
dotknąć,to touch (once),,
dotknę (dotknąć),I will touch,,
dotleniać się,to get some fresh air (repeated),,
dotlenić się,to get some fresh air (once),,
dotrzesz (dotrzeć),You will reach something,,
dotrzeć do czegoś,to reach something (once),,
dotrę (dotrzeć),I will reach something,,
dotychczas,until now,,
dotyczyć,to concern,,
dotyk,touch,,
dotykaj (dotykać),Touch! (repeated),,
dotykam (dotykać),I am touching,,
dotykasz (dotykać),You are touching,,
dotykać,to touch (repeated),,
dowcip,joke,,
dowcipny,witty,,
dowiadywać się,to learn about (repeated),,
dowiedzieć się,to learn about (once),,
dowolny,free/any/arbitrary,,
dowód,evidence,,
dozorca,caretaker/janitor,,
dołączać,to join II (repeated),,
dołączyć,to join II (once),,
doświadczenie,experience,,
drabina,ladder,,
dreszcze,shivers,,
drewniany,wooden,,
drobny,small/frail/fine,,
drożeć,to become more expensive (repeated),,
druciany,wire,,
drukować,to print (repeated),,
drużyna,team/squad,,
drzazga,splinter,,
drętwieć,to go numb (repeated),,
drżeć,to shiver (repeated),,
drżysz (drżeć),You are shivering,,
drżę (drżeć),I am shivering,,
dumny,proud,,
dusić,to strangle (repeated),,
dusza,soul,,
dwa miliony,two million,,
dwa tysiące,two thousand,,
dwaj książęta,two princes,,
dwieście,two hundred,,
dyktando,dictation,,
dyktatura,dictatorship,,
dym,smoke,,
dyskutować,to discuss (repeated),,
dyspozycyjność,availability,,
dyżur,duty hours,,
dzbanek,jug,,
dziać się,to happen,,
dział,division/department,,
działacz,activist,,
działalność,activity,,
działanie,action,,
działać,to work/function,,
działka,building plot,,
działo,cannon,,
dziecinny,children's,,
dzieciństwo,childhood,,
dziedziczenie,inheritance,,
dziedziczyć,to inherit (repeated),,
dziedzina,branch/discipline/area,,
dziel się (dzielić się),Share/divide! (repeated),,
dzielisz się (dzielić się),You are sharing/dividing,,
dzielić się,to share/divide (repeated),,
dzielnica,district,,
dzielę się (dzielić się),I am sharing/dividing,,
dziewica,virgin,,
dzieło,work/composition,,
dzisiejszy,today's,,
dziw się (dziwić się),Be surprised! (repeated),,
dziwisz się (dziwić się),You are surprised,,
dziwić się,to be surprised (repeated),,
dziwię się (dziwić się),I am surprised,,
dół,bottom/pit,,
dłoń,palm/hand,,
dług,debt,,
długoterminowy,long-term,,
długotrwały,long-lasting,,
długość,length,,
dłużny,indebted,,
dźgać,to jab (repeated),,
dźgnąć,to jab (once),,
dźwig,crane,,
dźwięczny,resonant,,
ekran,screen,,
ekscytujący,exciting,,
eksponat,exhibit,,
elektrowstrząs,electroshock,,
emerytura,pension,,
energooszczędny,energy-saving,,
etap,lap/leg/stage,,
etat,job position,,
ewentualnie,alternatively,,
fabuła,plot/story,,
fachowy,professional II,,
faktura,invoice,,
fala,wave,,
farba,paint/dye/ink,,
fałszywie,falsely/insincerely,,
felieton,column,,
ferie,holiday/break,,
filiżanka,cup,,
filozofia,philosophy,,
flet,flute,,
furgonetka,van,,
futerał,case,,
futro,fur coat,,
gabinet,small or private office,,
garnek,(cooking) pot,,
garnitur,suit,,
garść,handful,,
gasisz (gasić),You are extinguishing,,
gasić,"to put out, to extinguish (repeated)",,
gasnąć,to go out (repeated),,
gasnę (gasnąć),I am going out,,
gaszę (gasić),I am extinguishing,,
gatunek,kind/sort/variety/species,,
gałąź,branch,,
gaś (gasić),Extinguish! (repeated),,
gaśniesz (gasnąć),You are going out,,
gdyż,because,,
geneza,genesis/origin,,
giełda,exchange (e.g. stock or labour),,
ginąć,to be killed (repeated),,
giąć,to bend (repeated),,
gliniany,clay,,
gnać,to rush (repeated),,
gniazdo,nest,,
gniesz (giąć),You are bending,,
gniewać się,to be angry (repeated),,
gnij (giąć),Bend! (repeated),,
gnę (giąć),I am bending,,
godność,dignity,,
godziwy,fair/honourable,,
godło,emblem,,
gonisz (gonić),You are chasing,,
gonić,to chase,,
gonię (gonić),I am chasing,,
gorączka,fever,,
gospoda,inn,,
gospodarka,economy,,
gospodarstwo,household,,
gospodarz,host,,
gotówka,cash,,
gościnny,hospitable,,
gość,guest,,
grajek,musician,,
granatowy,navy blue,,
granica,border I,,
gromadzić,to amass/gather (repeated),,
grozisz (grozić),You are threatening,,
grozić,to threaten (repeated),,
grożę (grozić),I am threatening,,
grudzień,December,,
grzech,sin,,
grzejnik,heater/radiator,,
grzmot,thunder,,
grób,grave/tomb I,,
gust,taste,,
guwernantka,governess,,
guz,lump,,
gwałcić,to rape/violate (repeated),,
gwałtownie,fiercely/rapidly/sharply/suddenly,,
góra,top/mountain,,
górny,upper,,
gąbka,sponge,,
gęsty,thick/dense,,
głaskać,to stroke (repeated),,
głaszczesz (głaskać),You are stroking,,
głaszczę (głaskać),I am stroking,,
głaz,boulder,,
głośnik,(loud)speaker,,
głuchy,deaf,,
głębokość,depth,,
handel,trade/retail,,
harcerstwo,scouting,,
harcerz,scout,,
hazard,gambling,,
hałasować,to make noise,,
hejnał,bugle-call,,
hipoteza,hypothesis,,
huk,boom/crash,,
huta,steelworks/ironworks,,
imiesłów,participle,,
imitować,to imitate,,
inaczej,otherwise/differently,,
indziej,else,,
ingerencja,interference,,
ingerować,to interfere,,
inicjować,to initialize (repeated),,
instruować,to instruct (repeated),,
iskierka,small spark,,
iskra,spark,,
istnienie,existence,,
istnieć,to exist,,
istota,creature,,
istotny,significant,,
izolować,to isolate (repeated),,
iść piechotą,to go on foot,,
jad,venom,,
jadalny,edible,,
jadowity,venomous,,
jakby,as if/though,,
jatka,massacre,,
jazda,a drive/ride I (e.g. car/bike),,
jednocześnie,at the same time,,
jednogłośny,unanimous,,
jednorazowy,single/disposable,,
jedynaczka,only (girl) child,,
jedynak,only (boy) child,,
jedynie,only,,
jemioła,mistletoe,,
jeniec,captive,,
jesienny,autumnal,,
jezdnia,road/roadway,,
jezioro,lake,,
jeździsz (jeździć),You are going (by vehicle),,
jeździć,to go (by vehicle),,
jeżdżę (jeździć),I am going (by vehicle),,
jubiler,jeweller,,
kajdanki,handcuffs,,
kaleczyć się czymś,to cut oneself with something (repeated),,
kaloryfer,radiator,,
kancelaria,administrative office,,
kaprys,a whim,,
karać,to punish (repeated),,
kartka,sheet of paper,,
karzesz (karać),You are punishing,,
karzę (karać),I am punishing,,
kasa,cash desk,,
kasjer,cashier,,
kawaler,bachelor,,
kazać,to command/order I,,
każesz (kazać),You are commanding,,
każę (kazać),I am commanding,,
kibic,supporter/fan,,
kibicować komuś,to cheer somebody,,
kieliszek,(a) glass,,
kiepski,poor/bad/rotten,,
kierownica,steering wheel or handle bars,,
kierunek,direction,,
kieszeń,pocket,,
kij,stick,,
kikut,stump,,
kilkanaście,a dozen or so,,
kiwać,to nod (repeated),,
kiwnąć,to nod (once),,
klamka,handle,,
klatka,cage,,
klawisz,piano key,,
klejnot,jewel,,
kloszard,tramp,,
klękać,to kneel (repeated),,
klęknąć,to kneel (once),,
klęska,disaster/defeat/catastrophe,,
kobiecość,femininity,,
kobiecy,feminine,,
kojarzyć się,to be associated/reminded (repeated),,
kojący,soothing,,
kolec,prickle/quill/thorn,,
kolej,railway/railroad,,
kolejność,sequence/order,,
kolejny,consecutive/subsequent,,
kolekcja,collection I,,
kombinezon,overalls,,
komin,chimney,,
komisariat,police station,,
komnata,chamber,,
kompromitujący,compromising,,
konfliktowy,confrontational,,
konieczność,necessity,,
konkurencja,competition,,
konkurować z kimś o coś,to complete with somebody for something,,
konkurs,contest/competition,,
konsekwentny,consistent,,
konto,account,,
kontrahent,contractor,,
kopać,to kick (repeated),,
koperta,envelope,,
kopia,copy/duplicate,,
kopnąć,to kick (once),,
kora,bark (skin of a tree),,
korcić,to tempt,,
korumpować,to corrupt (repeated),,
koryto,trough or river bed,,
korzeń,root,,
korzystać,to benefit from (repeated),,
korzystny,beneficial/favourable/profitable,,
korzyść,benefit,,
kosmyk,wisp,,
koszmar,nightmare,,
kołdra,duvet,,
koślawy,crooked,,
krach,crash,,
kradniesz (kraść),You are stealing,,
kradnę (kraść),I am stealing,,
kraina,land/region/area,,
krata,bars/grating/grid,,
kraść,to steal (repeated),,
kres,end,,
krewny,(blood) relative,,
kreślić,to trace/plot/sketch (repeated),,
kroić,to cut I (repeated),,
krok,step,,
kromka,slice,,
kropla,drop,,
kruk,raven,,
krwawy,bloody,,
krytykować,to criticise (repeated),,
krztusić się,to choke (repeated),,
krzyczeć,to shout (repeated),,
krzyczysz (krzyczeć),You are shouting,,
krzyczę (krzyczeć),I am shouting,,
krzykniesz (krzyknąć),You will shout,,
krzyknąć,to shout (once),,
krzyknę (krzyknąć),I will shout,,
krzywa,curve,,
krzyż,cross,,
królewicz,prince I,,
królowa,queen,,
krótkoterminowy,short-term,,
krótkotrwały,short-lived/short-lasting,,
krążyć,to circle/rotate/orbit,,
kręgosłup,backbone/spine,,
krępować,to embarrass II (repeated),,
książę,prince II,,
księgowa,accountant/bookkeeper,,
księżniczka,princess,,
kształt,shape,,
kształtować,to shape (repeated),,
kuchenka,stove/hob,,
kuchenny,kitchen,,
kula,ball/sphere/bullet,,
kulawy,lame or limping,,
kulić,to hunch (repeated),,
kumpel,pal/buddy,,
kupno,purchase,,
kurort,health resort or spa,,
kurz,dust,,
kusić,to tempt/entice (repeated),,
kwadratowy,square,,
kwatera,lodging,,
kwestia,question/matter,,
kwiecień,April,,
kąpiel,bath,,
kładziesz (kłaść),You are laying,,
kładę (kłaść),I am laying,,
kłamać,to lie (repeated),,
kłaść,to lay (repeated),,
kłócisz się (kłócić się),You are arguing,,
kłócić się,to argue (repeated),,
kłócę się (kłócić się),I am arguing,,
kłótnia,argument,,
lalka,doll,,
lansować,to promote/launch (repeated),,
latarka,torch/flashlight,,
lecieć,to fly (repeated),,
lecisz (lecieć),You are flying,,
lecz,but,,
leczenie,treatment/therapy,,
leczyć,to treat/cure/heal (repeated),,
lecę (lecieć),I am flying,,
ledwie,barely/hardly,,
lenić się,to be lazy,,
lepszość,superiority,,
letni,summery,,
lewa strona,left side,,
leń,lazybones,,
leż (leżeć),Lie!,,
leżeć,to lie,,
leżysz (leżeć),You are lying,,
leżę (leżeć),I am lying,,
licencjat,bachelor's degree,,
liczba,number/figure,,
liczebnik główny,cardinal number,,
liczebnik porządkowy,ordinal number,,
liczny,numerous,,
liczyć,to count (repeated),,
lipiec,July,,
listopad,November,,
litościwy,merciful,,
lizać,to lick (repeated),,
liznąć,to lick (once),,
liznę (liznąć),I will lick,,
liźniesz (liznąć),You will lick,,
liżesz (lizać),You are licking,,
liżę (lizać),I am licking,,
lokować,to place (repeated),,
los,fortune/fate,,
losować,to draw (e.g. a card) (repeated),,
lud,folk/people,,
ludzki,human,,
luty,February,,
ląd,land,,
lądować,to land (repeated),,
lśniący,shiny,,
lżejszy,lighter,,
macierzyństwo,motherhood,,
macocha,stepmother,,
magisterium,master's degree,,
maj,May,,
majątek,asset/property,,
makler,stock broker,,
mandat,ticket/fine,,
marka,brand/make,,
marmur,marble,,
marnować,to waste (repeated),,
marny,weak/feeble/flimsy,,
marsz,march,,
marynarka,suit jacket,,
marz (marzyć),Dream!,,
marzec,March,,
marzyciel,dreamer,,
marzysz (marzyć),You are dreaming,,
marzyć,to dream,,
marzę (marzyć),I am dreaming,,
masowo,in great numbers,,
maszynista,engine/train driver,,
matowy,matt (not shiny),,
mazak,felt-tip pen,,
mdlejesz (mdleć),You are fainting,,
mdleję (mdleć),I am fainting,,
mdleć,to faint (repeated),,
meblować,to furnish (repeated),,
meteoropatia,weather sensitivity,,
mgła,fog/mist,,
mianownik (kto? co?),nominative case,,
miara,measure/size,,
miażdżyć,to crush (repeated),,
miecz,sword,,
miejscownik (o kim? o czym?),locative case,,
miejscowość,(a) place,,
miejski,municipal/urban,,
miesiąc,month,,
miesiączkować,to menstruate,,
miesięczny,monthly,,
mieszać,to mix (repeated),,
mieszczę się (mieścić się),I am fitting,,
mieszkaniec,occupant/inhabitant,,
mieścisz się (mieścić się),You are fitting,,
mieścić się,to fit (repeated),,
migać,to blink/flicker (repeated),,
mignąć,to blink/flicker (once),,
mijać,to pass (repeated),,
mikstura,potion,,
milcz (milczeć),Keep silent!,,
milczeć,to keep silent,,
milczysz (milczeć),You are keeping silent,,
milczę (milczeć),I am keeping silent,,
mile widziany,welcome,,
milion,one million,,
milknąć,to fall silent (repeated),,
mimiczny,facial,,
mimo to,nevertheless,,
minąć,to pass (once),,
miotła,broom,,
miska,bowl,,
mistrz,master/champion,,
mistrzostwa,championships,,
mit,myth,,
mięsień,muscle,,
miłośniczka,lover/enthusiast (female),,
miłośnik,lover/enthusiast (male),,
mniejszość,minority,,
mnogi,plural,,
mnożyć,to multiply (repeated),,
mnóstwo,plenty (of something),,
moczyć,to wet (repeated),,
modlitwa,prayer,,
mogiła,grave/tomb II,,
mogli,They were able to (m),,
mogliście,You (plural) were able to (m),,
mogliśmy,We were able to (m),,
mogą,They can,,
mogę,I can,,
mogła,She was able to,,
mogłam,I was able to (f),,
mogłaś,You were able to (f),,
mogłem,I was able to (m),,
mogłeś,You were able to (m),,
mogło,It was able to,,
mogły,They were able to (f),,
mogłyście,You (plural) were able to (f),,
mogłyśmy,We were able to (f),,
moneta,coin,,
morderca,murderer,,
mowa,speech,,
mozolny,arduous/laborious,,
może,He/she/it can,,
możecie,You (plural) can,,
możemy,We can,,
możesz,You can,,
możliwość,possibility,,
mroźny,frozen,,
mróz,frost,,
mur,wall,,
musi,He/she/it must,,
musiał,He had to,,
musiała,She had to,,
musiałam,I had to (f),,
musiałaś,You had to (f),,
musiałem,I had to (m),,
musiałeś,You had to (m),,
musiało,It had to,,
musiały,They had to (f),,
musiałyście,You (plural) had to (f),,
musiałyśmy,We had to (f),,
musicie,You (plural) must,,
musieli,They had to (m),,
musieliście,You (plural) had to (m),,
musieliśmy,We had to (m),,
musimy,We must,,
musisz,You must,,
muszą,They must,,
muszę,I must,,
myj (myć),Wash! (repeated),,
myjesz (myć),You are washing,,
myję (myć),I am washing,,
mylić się,to make mistakes (repeated),,
mylny,mistaken/erroneous/wrong,,
myć,to wash (repeated),,
mógł,He was able to,,
mówienie,speaking,,
mózg,brain,,
męczyć się,to suffer II (repeated),,
męczący,tiresome/tiring,,
mędrzec,sage (wise man),,
męski,masculine,,
męskoosobowy,masculine personal,,
młodość,youth,,
młodzieniec,youth,,
mścić się,to avenge oneself on somebody (repeated),,
mżawka,drizzle,,
na dodatek,in addition,,
na stałe,permanently,,
nabijać,to load/charge/fill (repeated),,
nabić,to load/charge/fill (once),,
nachylać się,to bend down/lean (repeated),,
nachylić się,to bend down/lean (once),,
naciskać,to press (repeated),,
nacisnąć,to press (once),,
naczelny,chief/head/managing,,
naczynie,vessel,,
nadal,still,,
nadawać się do czegoś,to be suitable for something (repeated),,
